year,month,day,time,day_of_week,dag_id
2025,Jun,5,15:30:02,Thu,etl_pipeline_dag
2025,Jun,5,15:30:03,Thu,etl_pipeline_dag
2025,Jun,5,15:32:36,Thu,etl_pipeline_dag
2025,Jun,5,15:32:42,Thu,etl_pipeline_dag
2025,Jun,5,15:32:48,Thu,etl_pipeline_dag
2025,Jun,5,15:40:56,Thu,etl_pipeline_dag,running
2025,Jun,5,16:30:01,Thu,etl_pipeline_dag,running
2025,Jun,5,16:20:02,Thu,etl_pipeline_dag,running
2025,Jun,5,16:40:02,Thu,etl_pipeline_dag,running
2025,Jun,5,16:50:01,Thu,etl_pipeline_dag,running
2025,Jun,5,17:00:01,Thu,etl_pipeline_dag,running
2025,Jun,5,17:10:01,Thu,etl_pipeline_dag,running
2025,Jun,5,17:20:02,Thu,etl_pipeline_dag,running
2025,Jun,5,17:49:41,Thu,etl_pipeline_dag,running
2025,Jun,5,17:49:42,Thu,etl_pipeline_dag,running
2025,Jun,5,17:50:02,Thu,etl_pipeline_dag,running
2025,Jun,5,18:00:02,Thu,etl_pipeline_dag,running
2025,Jun,5,18:10:02,Thu,etl_pipeline_dag,running
2025,Jun,5,18:20:01,Thu,etl_pipeline_dag,running
2025,Jun,5,18:30:02,Thu,etl_pipeline_dag,running
2025,Jun,5,18:40:02,Thu,etl_pipeline_dag,running
2025,Jun,5,18:50:02,Thu,etl_pipeline_dag,running
2025,Jun,5,19:00:01,Thu,etl_pipeline_dag,running
2025,Jun,5,19:10:01,Thu,etl_pipeline_dag,running
2025,Jun,5,19:20:01,Thu,etl_pipeline_dag,running
2025,Jun,5,19:30:02,Thu,etl_pipeline_dag,running
2025,Jun,5,19:40:02,Thu,etl_pipeline_dag,running
2025,Jun,5,19:50:02,Thu,etl_pipeline_dag,running
2025,Jun,5,20:00:01,Thu,etl_pipeline_dag,running
2025,Jun,5,20:10:01,Thu,etl_pipeline_dag,running
2025,Jun,5,20:20:01,Thu,etl_pipeline_dag,running
2025,Jun,5,20:30:01,Thu,etl_pipeline_dag,running
2025,Jun,5,20:40:01,Thu,etl_pipeline_dag,running
2025,Jun,5,20:50:02,Thu,etl_pipeline_dag,running
2025,Jun,5,21:00:02,Thu,etl_pipeline_dag,running
2025,Jun,5,21:10:45,Thu,etl_pipeline_dag,running
2025,Jun,5,21:20:02,Thu,etl_pipeline_dag,running
2025,Jun,5,21:48:33,Thu,etl_pipeline_dag,running
2025,Jun,5,21:48:30,Thu,etl_pipeline_dag,running
2025,Jun,5,21:50:02,Thu,etl_pipeline_dag,running
2025,Jun,6,13:51:42,Fri,etl_pipeline_dag,running
2025,Jun,6,13:51:44,Fri,etl_pipeline_dag,running
2025,Jun,6,14:26:46,Fri,etl_pipeline_dag,running
2025,Jun,6,14:30:06,Fri,etl_pipeline_dag,running
2025,Jun,6,14:40:03,Fri,etl_pipeline_dag,running
2025,Jun,6,14:50:03,Fri,etl_pipeline_dag,running
2025,Jun,6,15:00:02,Fri,etl_pipeline_dag,running
2025,Jun,6,15:17:19,Fri,etl_pipeline_dag,running
2025,Jun,6,15:20:02,Fri,etl_pipeline_dag,running
2025,Jun,6,15:30:02,Fri,etl_pipeline_dag,running
2025,Jun,6,15:40:02,Fri,etl_pipeline_dag,running
2025,Jun,6,15:50:01,Fri,etl_pipeline_dag,running
2025,Jun,6,16:00:02,Fri,etl_pipeline_dag,running
2025,Jun,6,16:10:02,Fri,etl_pipeline_dag,running
2025,Jun,6,16:20:02,Fri,etl_pipeline_dag,running
2025,Jun,6,16:30:02,Fri,etl_pipeline_dag,running
2025,Jun,6,16:40:02,Fri,etl_pipeline_dag,running
2025,Jun,6,16:50:02,Fri,etl_pipeline_dag,running
2025,Jun,6,17:00:02,Fri,etl_pipeline_dag,running
2025,Jun,6,17:10:03,Fri,etl_pipeline_dag,running
2025,Jun,6,17:20:02,Fri,etl_pipeline_dag,running
2025,Jun,6,17:30:03,Fri,etl_pipeline_dag,running
2025,Jun,6,17:40:02,Fri,etl_pipeline_dag,running
2025,Jun,6,18:07:14,Fri,etl_pipeline_dag,running
2025,Jun,6,18:07:15,Fri,etl_pipeline_dag,running
2025,Jun,6,18:10:02,Fri,etl_pipeline_dag,running
2025,Jun,6,18:20:01,Fri,etl_pipeline_dag,running
2025,Jun,6,18:30:02,Fri,etl_pipeline_dag,running
2025,Jun,6,18:40:01,Fri,etl_pipeline_dag,running
2025,Jun,6,18:50:01,Fri,etl_pipeline_dag,running
2025,Jun,6,19:00:03,Fri,etl_pipeline_dag,running
2025,Jun,6,19:10:02,Fri,etl_pipeline_dag,running
2025,Jun,6,19:20:02,Fri,etl_pipeline_dag,running
2025,Jun,6,19:30:02,Fri,etl_pipeline_dag,running
