,iris_id,iris_sepal_length,iris_sepal_width,iris_petal_length,iris_petal_width,iris_variety
0,1.0,5.1,3.5,1.4,0.2,Setosa
1,2.0,4.9,3.0,1.4,0.2,Setosa
2,3.0,4.7,3.2,1.3,0.2,Setosa
3,4.0,4.6,3.1,1.5,0.2,Setosa
4,5.0,5.0,3.6,1.4,0.2,Setosa
5,6.0,5.4,3.9,1.7,0.4,Setosa
6,7.0,4.6,3.4,1.4,0.3,Setosa
7,8.0,5.0,3.4,1.5,0.2,Setosa
8,9.0,4.4,2.9,1.4,0.2,Setosa
9,10.0,4.9,3.1,1.5,0.1,Setosa
10,11.0,5.4,3.7,1.5,0.2,Setosa
11,12.0,4.8,3.4,1.6,0.2,Setosa
12,13.0,4.8,3.0,1.4,0.1,Setosa
13,14.0,4.3,3.0,1.1,0.1,Setosa
14,15.0,5.8,4.0,1.2,0.2,Setosa
15,16.0,5.7,4.4,1.5,0.4,Setosa
16,17.0,5.4,3.9,1.3,0.4,Setosa
17,18.0,5.1,3.5,1.4,0.3,Setosa
18,19.0,5.7,3.8,1.7,0.3,Setosa
19,20.0,5.1,3.8,1.5,0.3,Setosa
20,21.0,5.4,3.4,1.7,0.2,Setosa
21,22.0,5.1,3.7,1.5,0.4,Setosa
22,23.0,4.6,3.6,1.0,0.2,Setosa
23,24.0,5.1,3.3,1.7,0.5,Setosa
24,25.0,4.8,3.4,1.9,0.2,Setosa
25,26.0,5.0,3.0,1.6,0.2,Setosa
26,27.0,5.0,3.4,1.6,0.4,Setosa
27,28.0,5.2,3.5,1.5,0.2,Setosa
28,29.0,5.2,3.4,1.4,0.2,Setosa
29,30.0,4.7,3.2,1.6,0.2,Setosa
30,31.0,4.8,3.1,1.6,0.2,Setosa
31,32.0,5.4,3.4,1.5,0.4,Setosa
32,33.0,5.2,4.1,1.5,0.1,Setosa
33,34.0,5.5,4.2,1.4,0.2,Setosa
34,35.0,4.9,3.1,1.5,0.2,Setosa
35,36.0,5.0,3.2,1.2,0.2,Setosa
36,37.0,5.5,3.5,1.3,0.2,Setosa
37,38.0,4.9,3.6,1.4,0.1,Setosa
38,39.0,4.4,3.0,1.3,0.2,Setosa
39,40.0,5.1,3.4,1.5,0.2,Setosa
40,41.0,5.0,3.5,1.3,0.3,Setosa
41,42.0,4.5,2.3,1.3,0.3,Setosa
42,43.0,4.4,3.2,1.3,0.2,Setosa
43,44.0,5.0,3.5,1.6,0.6,Setosa
44,45.0,5.1,3.8,1.9,0.4,Setosa
45,46.0,4.8,3.0,1.4,0.3,Setosa
46,47.0,5.1,3.8,1.6,0.2,Setosa
47,48.0,4.6,3.2,1.4,0.2,Setosa
48,49.0,5.3,3.7,1.5,0.2,Setosa
49,50.0,5.0,3.3,1.4,0.2,Setosa
50,51.0,7.0,3.2,4.7,1.4,Versicolor
51,52.0,6.4,3.2,4.5,1.5,Versicolor
52,53.0,6.9,3.1,4.9,1.5,Versicolor
53,54.0,5.5,2.3,4.0,1.3,Versicolor
54,55.0,6.5,2.8,4.6,1.5,Versicolor
55,56.0,5.7,2.8,4.5,1.3,Versicolor
56,57.0,6.3,3.3,4.7,1.6,Versicolor
57,58.0,4.9,2.4,3.3,1.0,Versicolor
58,59.0,6.6,2.9,4.6,1.3,Versicolor
59,60.0,5.2,2.7,3.9,1.4,Versicolor
60,61.0,5.0,2.0,3.5,1.0,Versicolor
61,62.0,5.9,3.0,4.2,1.5,Versicolor
62,63.0,6.0,2.2,4.0,1.0,Versicolor
63,64.0,6.1,2.9,4.7,1.4,Versicolor
64,65.0,5.6,2.9,3.6,1.3,Versicolor
65,66.0,6.7,3.1,4.4,1.4,Versicolor
66,67.0,5.6,3.0,4.5,1.5,Versicolor
67,68.0,5.8,2.7,4.1,1.0,Versicolor
68,69.0,6.2,2.2,4.5,1.5,Versicolor
69,70.0,5.6,2.5,3.9,1.1,Versicolor
70,71.0,5.9,3.2,4.8,1.8,Versicolor
71,72.0,6.1,2.8,4.0,1.3,Versicolor
72,73.0,6.3,2.5,4.9,1.5,Versicolor
73,74.0,6.1,2.8,4.7,1.2,Versicolor
74,75.0,6.4,2.9,4.3,1.3,Versicolor
75,76.0,6.6,3.0,4.4,1.4,Versicolor
76,77.0,6.8,2.8,4.8,1.4,Versicolor
77,78.0,6.7,3.0,5.0,1.7,Versicolor
78,79.0,6.0,2.9,4.5,1.5,Versicolor
79,80.0,5.7,2.6,3.5,1.0,Versicolor
80,81.0,5.5,2.4,3.8,1.1,Versicolor
81,82.0,5.5,2.4,3.7,1.0,Versicolor
82,83.0,5.8,2.7,3.9,1.2,Versicolor
83,84.0,6.0,2.7,5.1,1.6,Versicolor
84,85.0,5.4,3.0,4.5,1.5,Versicolor
85,86.0,6.0,3.4,4.5,1.6,Versicolor
86,87.0,6.7,3.1,4.7,1.5,Versicolor
87,88.0,6.3,2.3,4.4,1.3,Versicolor
88,89.0,5.6,3.0,4.1,1.3,Versicolor
89,90.0,5.5,2.5,4.0,1.3,Versicolor
90,91.0,5.5,2.6,4.4,1.2,Versicolor
91,92.0,6.1,3.0,4.6,1.4,Versicolor
92,93.0,5.8,2.6,4.0,1.2,Versicolor
93,94.0,5.0,2.3,3.3,1.0,Versicolor
94,95.0,5.6,2.7,4.2,1.3,Versicolor
95,96.0,5.7,3.0,4.2,1.2,Versicolor
96,97.0,5.7,2.9,4.2,1.3,Versicolor
97,98.0,6.2,2.9,4.3,1.3,Versicolor
98,99.0,5.1,2.5,3.0,1.1,Versicolor
99,100.0,5.7,2.8,4.1,1.3,Versicolor
